driver_id,total_fare,avg_distance,batch_id
d009,671.49,18.604444444444447,10
d019,622.8100000000001,12.658571428571431,10
d025,624.56,14.744285714285713,10
d012,438.95,14.741818181818182,10
d007,400.25,16.670909090909092,10
d024,492.62,17.076666666666664,10
d010,508.88,11.917142857142858,10
d015,305.73,18.225,10
d002,694.1599999999999,12.064285714285713,10
d006,745.34,14.213846153846152,10
d013,483.30000000000007,17.705000000000002,10
d016,569.2900000000001,15.126153846153848,10
d018,497.34,19.162666666666667,10
d020,668.1,17.304444444444446,10
d011,754.33,11.35625,10
d022,834.2,13.352500000000001,10
d014,395.69,20.052,10
